name;Crowd_limit;Nazev_okruhu;Time_duration;Tours_content
Jánský Vrch;max. 8 osob;Zámecká půda;délka 50 minut;Okruh návštěvníky zavede na zámeckou půdu. Je určen pro ty, kteří se zajímají o historické krovy. Nahlédne se také do flankovací věže a místnosti s hodinovým strojem.
Litomyšl;max. 10 osob;Zámecká kuchyně a věž - uzavřeno;délka 20 minut;Samostatná prohlídka obnovené zámecké kuchyně v přízemí zámku s dobovým zařízením a návštěvou renesanční věže (175 schodů) s vyhlídkou na zámecký areál a rekonstruované renesanční střechy.
Rájec nad Svitavou;max. 35 osob;Zámecká kaple (výběrový okruh);délka 20 minut;Zámecká kaple je zařízena v prostém klasicistním a empírovém stylu. Je umístěna v jižním bočním křídle zámku. Ve vybraných termínech může být součástí prohlídky také návštěva drobné umělecké, nebo historické výstavy. Kaple je přístupná pouze s průvodcem.
Mnichovo Hradiště;neomezeně;Zahrada s barokní salou terrenou na zámku Mnichovo Hradiště;délka 0 minut;Zámecký park je volně přístupný při respektování návštěvního řádu. Náhled do saly terreny je umožněn příležitostně.
vila Stiassni v Brně;neomezeně;Zahrada;délka 60 minut;Individuální prohlídka zahrady bez průvodce.
Velké Březno;max. 25 osob;Za princeznou na zámek (Školní okruh);délka 45 minut;"Netradiční prohlídka určená pouze pro skupiny dětí z mateřských škol. Jak se tančilo, stolovalo a s čím si malé princezny a princové hráli. Na přání můžeme malé návštěvníky pohostit bábovkou a ,,kafíčkem"". Pro tuto prohlídku je nutná rezervace. Určeno pro dětské skupiny z mateřských školek a jeslí a pro dětské zájezdy."
Nové Hrady;max. 20 osob;Za časů pana správce (základní okruh II.);délka 45 minut;Pohled do bytu panského úředníka, časově situovaného do počátku dvacátého století. Sedm místností bytu instalovaných v autentických prostorách paláce, jenž byl v 19. století adaptován na byty pro panské zaměstnance.
Ratibořice;max. 25 osob;Za Babičkou Boženy Němcové do Ratibořic (akce - komponovaný pořad);délka 90 minut;Postavy, důvěrně známé z knihy Babička spisovatelky Boženy Němcové, vás přivítají v místech, ve kterých se děj románu odehrává. Při návštěvě v zámku narazíte na namyšleného komorníka Leopolda, pozdravíte vznešenou paní kněžnu a její milou schovanku, komtesu Hortenzii. Ve mlýně vás budou vyhlížet veselý mlynář s panímámou mlynářkou a houfem ratibořických dětí s jejich hrami, zpěvy a říkadly. Na Starém bělidle vás potěší setkání s laskavou babičkou a vnoučaty.
Benešov nad Ploučnicí;max. 25 osob;Wolfův palác;délka 15 minut;Výstavní nekomentovaná expozice: historické hodiny a rytiny Johanna Eliase Ridingera. Wolfův palác lze navštívit pouze v období července-srpen, a to vždy pouze společně s prohlídkou Dolního zámku, nikoli samostatně.
Bouzov;max. 20 osob;Výstup na věž hlásku;délka 20 minut;Výstup na nejvyšší věž Hlásku. Prohlídka bez výkladu s průvodcem.
Březnice;max. 10 osob;Výstava Tajemné bytosti brdských lesů;délka 5 minut;Výstava Tajemné bytosti brdských lesů vtahuje zejména dětské návštěvníky do mystického světa pohádkových bytostí, jež našly své dočasné útočiště v raně renesančním sklepení březnického zámku.
Bečov nad Teplou;max. 20 osob;Výstava Kult svatých těl;délka 40 minut;Objevte fascinující svět barokní zbožnosti prostřednictvím osmnácti unikátních exponátů, které vás zavedou do tajemného světa relikviářů a relikvií svatých. Výstava je pořádána k příležitosti 40. výročí objevení Relikviáře sv. Maura a nabízí detailní pohled na zdobení ostatkových relikviářů a přibližuje tradici uctívání ostatků svatých.
Stekník;max. 15 osob;Výstava a sklepení;délka 20 minut;Nachází se v chodbách a sklepení přízemí zámku a trvá pouze 15–20 minut. Spolu s návštěvou zámecké zahrady a nádvořím je časově nenáročný.
Jindřichův Hradec;max. 40 osob;Výběrový okruh;délka 60 minut;Výběrový okruh představuje větší část stavebního vývoje hrado-zámeckého areálu Jindřichova Hradce. Návštěvníci projdou stavbami a interiéry pozdně gotickými až vrcholně renesančními. Prohlídka začíná ve staré černé kuchyni, navštíví reprezentativní pokoje stavitelů zámku a končí v unikátní manýristické stavbě, hudebním pavilonu Rondelu.
Důl Michal v Ostravě;max. 25 osob;Vstup do areálu Dolu Michal (netýká se placených prohlídek s průvodcem);délka 0 minut;Individuální prohlídky areálu Dolu Michal bez průvodce. Při prohlídce prosím dbejte zvýšené opatrnosti. Platí přísný zákaz vstupu na zatravněné plochy a na veškeré konstrukce v areálu. Berte na vědomí, že se v areálu pohybují automobily. Platba na pokladně Dolu Michal, kde budete taktéž seznámeni s pravidly vstupu do areálu.
Pernštejn;neomezeně;Vrchnostenská zahrada;délka 60 minut;"Obnovená zahrada na jihozápadním hradním svahu je jedinečným souborem zahradních stylů, v pro zahradu velmi netradičním horském terénu. Návštěvníka provede různýni ""světy"", od pravidelné francouzské zahrady, přes romantickou zahradu, ""angločínskou"" část, až po lesní partie. Prohlídka je vzhledem k terénu fyzicky náročná, v nadpoloviční části zcela neschůdná pro paraplegiky. Zahrada je přístupná ze třetího nádvoří hradu, po zaplacení vstupného. Východ je možný i ve spodní části, poblíž parkoviště. Bez průvodce, rezervace není nutná a neděláme ji. POZOR ! - terén je obtížný, nedoporučujeme vstup s kočárky (schodiště, strmý terén, u východu neprojdou turniketem, je pak nutno se vrátit do zavírací hodiny ke vchodu). V případě extrémního počasí jako bouře, průtrž mračen, silný vítr a pod. (i bezprostředně hrozící), případně sníh a náledí, jsou prohlídky zahrady z bezpečnostních důvodů zrušeny. POZOR ! - do zahrady není povolen vstup se zvířaty, tedy ani se psy, ani když jsou nesena, či v zavazadlech."
Karlštejn;neomezeně;Volně přístupným areálem Karlštejna (s audioprůvodcem);délka 40 minut;Samostatná prohlídka volně přístupného areálu hradu Karštejn s mobilním audioprůvodcem ve Vašem telefonu. V aplikaci TourStories (stahujte přes AppStore nebo Google Play Store), vám nabídneme procházku volně přístupnou částí areálu hradu, tedy od vstupní brány po Studniční věž. V několika zastaveních vám představíme neobyčejnou historii Karlštejna, ukážeme vám neobvyklé pohledy na hrad a upozorníme vás, kam se podívat, abyste tento výjimečný skvost lépe poznali. Rádi vám ukážeme Karlštejn zvenčí. V případě, že už máte vstupenku do interiérů a chcete vyplnit čas čekání, nebo prohlídku interiérů neplánujete, připojte se k nám. Naše procházka bude trvat asi 40 minut a začíná před vstupní branou.
Žebrák;neomezeně;Volná prohlídka hradu (základní prohlídka);délka 20 minut;Samostatná prohlídka všech prostor hradu bez průvodce s psaným textem (zakoupíte nebo vám ho půjčíme v pokladně), na hradě můžete pobýt jak dlouho, dokud ho nezavřeme.
Točník;neomezeně;Volná prohlídka hradu (základní okruh);délka 60 minut;Návštěvníci se vydávají hradem bez průvodce s tištěnými texty a mapou. Texty jsou k dispozici v osmi jazycích v pokladně hradu. Délka prohlídky není omezena. Po předchozím objednání je možné pro skupiny (nad 15 osob) projít hrad i s průvodcem.
Plasy;max. 15 osob;Vodní systém;délka 60 minut;Speciální prohlídkový okruh zaměřený na fungování vodního, větracího a tepelného systému budovy konventu. Dozvíte se zde informace o základech budovy, která je postavená na vodě. Prohlédnete si dvě vodní zrcadla, vzdušníkové chodby a klášterní separace. Specifické podmínky prohlídky tohoto okruhu čtěte níže!
Ratibořice;max. 50 osob;Vodní mandl;délka 30 minut;Za vodním náhonem v sousedství Rudrova mlýna se nachází technická památka - historický vodní mandl z první poloviny 19. století.
Mníšek pod Brdy;max. 20 osob;VII. Ateliér (Mimořádný okruh IV.);délka 30 minut;V zámeckém výtvarném ateliéru si děti si mohou vymalovat zvířátka, květiny, auta, princezny a jiné sádrové odlitky. Kdo bude chtít, vymaluje si hrneček a na malé čtenáře čekají veselé záložky. Vstupenky do ateliéru si můžete zakoupit na pokladně zámku.
Mníšek pod Brdy;max. 15 osob;VI. Pohádková prohlídka (Mimořádný okruh II.);délka 35 minut;Pohádková prohlídka neprochází reprezentativními zámeckými prostorami. Uvidíte část severního křídla a přízemí. Pohádková prohlídka je určena pro děti od tří do devíti let. Princezna provede děti částí severního křídla do místností s výstavou o pohádce Tajemství staré bambitky 2, která se na zámku natáčela. Připomenou si princeznu Johanku, krále Jakuba a královnu Aničku. V přízemních prostorách zámku se děti setkají s drakem, Sněhurkou, trpaslíky, princeznou Růženkou, Popelkou a dalšími. V závěru prohlídky si děti prohlédnou sbírku malých princů a princezen. Děti do patnácti let mohou na prohlídku pouze v doprovodu dospělého. Vstupenky na prohlídky nakupujte v online prodeji. V případě dotazu volejte na číslo 606 649 207.
Nové Hrady;max. 10 osob;Věž s vyhlídkou (mimořádný okruh, prohlídky při výjimečných příležitostech);délka 15 minut;Věž je mimořádný okruh, přístupný při výjimečných příležitostech.
Rožmberk;max. 10 osob;Věž Jakobínka;délka 40 minut;Věž Jakobínka je dnes už jediným pozůstatkem zaniklého Horního rožmberského hradu.
Rabí;max. 35 osob;VĚŽ (základní okruh);délka 45 minut;PROCHÁZKA HRADNÍM AREÁLEM
Švihov;max. 10 osob;VĚŽ – Od zříceniny k památce;délka 40 minut;Vystoupejte společně s průvodcem postupně do všech pater věže a objevte její dochované a dosud nespatřené stavební prvky jako například staré trámy krovu. Návštěvu věže oživují projekce a z nejvyššího patra se vám nakonec otevře nečekaný rozhled na město a údolí řeky Úhlavy.
kostel Nanebevzetí Panny Marie v Mostě;max. 30 osob;Věž;délka 30 minut;Výstup na věž kostela, kdy návštěvníci zdolají 197 schodů.
Grabštejn;neomezeně;Věž;délka 20 minut;Výstup na hradní věž bez průvodce můžete uskutečnit kdykoli v běžné návštěvní době hradu. Z hradní věže je pěkný kruhový výhled do okolní krajiny Čech, Německa a Polska.
Hluboká nad Vltavou;neomezeně;Věž;délka 0 minut;Velice zajímavý výhled na okolní krajinu umožňuje návštěva zámecké věže, pokud je ovšem příznivé počasí. Byla nově postavena po roce 1847 na místě původní věže barokního zámku, která se zřítila. Neměla hluboké základy a během radikální stavební rekonstrukce prvního nádvoří v 19. století byla stržena přední budova, která tvořila opěrné zdivo barokní věže. Nově postavená neogotická věž s cimbuřím měří od nádvoří 52 metrů, od dolního parteru zámeckého parku 58 metrů. Je o něco nižší než Černá věž v nedalekých Českých Budějovicích, která měří 71,9 metru, má však o 20 schodů na ochoz víc, celkem 245. Připočteme-li k výšce věže výšku ostrožny, na které zámek stojí, díváme se na okolní krajinu ze 102 metrů. V případě špatného počasí bude věž zavřena!
Lemberk;max. 20 osob;Věž;délka 0 minut;Mimořádný okruh, v jehož rámci můžete samostatně vystoupat na zámeckou věž, která je ve svém jádru ještě gotická. Můžete tak projít dějinami zámku od gotiky po baroko.
Vranov nad Dyjí;max. 20 osob;Věž;délka 25 minut;Individuální prohlídka středověké strážní věže ze 14. století s vyhlídkovým ochozem. Věž je vysoká 24 metrů a na její vrchol vede 111 schodů. V případě nepříznivého počasí je věž uzavřena.
Grabštejn;max. 10 osob;Veterinární muzeum;délka 40 minut;Navštivte jediné muzeum vojenských polních veterinárních souprav v České republice a objevte dějiny nejen československé vojenské kynologie.
Velké Březno;max. 25 osob;Venkovské sídlo posledních Chotků (základní okruh);délka 60 minut;Navštivte celý zámek, tedy všechny místnosti prvního patra, pak Vás čekají nově otevřené dětské pokoje v podkroví. Celkem 21 půvabně zařízených místností. Po absolvování prohlídky je možné vystoupat do zámecké věže a rozhlédnout se po okolí. Součástí tohoto okruhu je zkrácený okruh Zámek na penzi. Prohlídky začínají v každou celou hodinu. Konečná hodina je časem zahájení poslední prohlídky.
Žleby;max. 15 osob;Velká věž a sklepení (výběrový okruh);délka 40 minut;ZÁMEK Z HRADU ZROZENÝ: Velká věž s výstupem na vyhlídkový ochoz, obytné pokoje a hostinské apartmány, středověké hradní sklepení a suterén gotického paláce. Pozor, okruh překonává více než 350 schodů.
Valtice;max. 25 osob;Velikonoční zámecký okruh;délka 40 minut;Menší prohlídkový okruh zámku Valtice, Knížecí byt: Apartmán Františka I. z Liechtensteinu, dostane jarní výzdobu a zve na unikátní velikonoční prohlídku. Okruh je bez průvodce.
Raduň;max. 25 osob;Velikonoce na raduňském zámku;délka 60 minut;Přivítejte s námi svátky jara. Speciální prohlídky jarně a velikonočně vyzdobených reprezentačních prostor přiblíží zvyky posledních majitelů raduňského zámku – Blücherů z Wahlstattu. Představíme nejen místní, ale také zahraniční tradice, které si na své raduňské sídlo rodina přinesla. Ve všední dny nabízíme edukační programy přizpůsobené předškolním dětem i žákům základních či středních škol. Pokud o ně máte zájem, rezervujte si prosím termín.
Valtice;max. 25 osob;Vánoční zámecký okruh;délka 40 minut;Již tradiční Vánoční zámecký okruh se bude konat také v roce 2025 od 11. listopadu v knížecím bytě - Apartmánu Františka I. z Liechtensteinu a také na přilehlých chodbách. Okruh je bez průvodce.
Sychrov;neomezeně;Vánoční procházka zámkem;délka 50 minut;Procházka vánočně vyzdobeným zámkem, bez výkladu průvodce, svým vlastním tempem s možností fotografování.
Litomyšl;max. 20 osob;Vánoční prohlídky - uzařeno;délka 45 minut;Pokud si kladete otázky, jak se slavily Vánoce ve šlechtických kruzích, případně jestli aristokraté mysleli také na své sloužící, pak jsou pro vás tím pravým prohlídky vánočně vyzdobenými interiéry zámku Litomyšl. A jelikož před 136 lety zámek navštívil samotný císař František Josef I., přeneseme se také na vánoční císařský dvůr. V zámecké kapli nebude chybět ani vyřezávaný lidový betlém. Bonusem navíc bude také prohlídka nově zrekonstruované a vánočně vyzdobené zámecké kuchyně, která byla pro veřejnost otevřena poprvé v roce 2024.
Slatiňany;max. 20 osob;Vánoční prohlídka;délka 40 minut;Zapomeňte na předvánoční stres a shon a přijďte podlehnout kouzelné zimní atmosféře slatiňanského zámku.
Duchcov;max. 25 osob;Valdštejnská prohlídka (základní okruh);délka 50 minut;Duben (víkendy, Velikonoce): 10:00, 12:00, 14:00, 16:00. Prohlídka zámeckých interiérů z konce 19. století zahrnuje hlavní sál, jídelnu, pánské a dámské salony, ložnici, grafický kabinet.
Mníšek pod Brdy;max. 15 osob;V. Vyhlídka z věže (Individuální okruh I.);délka 15 minut;V případě nepříznivého počasí je vyhlídka z věže uzavřená. Za hezkého počasí nabízí jedna ze tří zámeckých věží výhled do malebné krajiny v okolí mníšeckého zámku. Uvidíte jeden z rybníků, vysokou střechu bývalého zájezdního hostince, který byl po třicetileté válce vystavěn majitelem mníšeckého panství Servácem Engelem z Engelsflussu. Kostel sv. Václava postavený v 18. století hrabětem Ignácem Unwerthem. Ve věži se můžete zaposlouchat do uklidňujícího zvuku kyvadla a prohlédnout si závaží hodinového stroje. Vstupenky zakupujte na pokladně zámku. Informujte se na čísle 606 649 207.
Hrubý Rohozec;max. 30 osob;V. Noční prohlídky zámku (Mimořádný okruh);délka 45 minut;"Oblíbené hrané noční prohlídky, aneb ""Vzhůru do oblak"" ."
Kunštát;max. 25 osob;V erbu tří pruhů (základní okruh II);délka 40 minut;Výstavní expozice instalovaná ve středověkých a renesančních částech zámku mapuje čtyři století historie rodu na pozadí dějin Moravy a oslnivé rytířské kultury urozených válečníků, stavitelů hradů, zakladatelů klášterů, zemských úředníků a dvořanů.
Třeboň;max. 30 osob;Trasa C – Konírna, psí kuchyně, kasematy;délka 45 minut;Na této trase se seznámíte s prostory hospodářských budov, které se využívaly k ustájení koní a chovu psů. Součástí prohlídky jsou také podzemní chodby (kasematy).
Třeboň;max. 25 osob;Trasa B – Soukromá schwarzenberská apartmá;délka 45 minut;Poslední majitele třeboňského panství, šlechtickou rodinu Schwarzenbergů, nám představí soukromé pokoje, kde členové rodiny ještě v minulém století trávili společně Vánoce.
Třeboň;max. 35 osob;Trasa A – Rožmberské renesanční interiéry;délka 45 minut;Tato prohlídková trasa, která byla reinstalována v roce 2009, nám připomíná dobu posledních Rožmberků, Viléma a Petra Voka.
Velké Březno;max. 25 osob;Těžký život princů a princezen ( Školní okruh II );délka 45 minut;Netradiční, výukové prohlídky zámku určené pro 1. stupeň základních škol, na kterých se děti přesvědčí, že být princem či princeznou ale vůbec nebylo jednoduché.
Raduň;max. 25 osob;Teplo domova: technické zázemí raduňského zámku;délka 60 minut;Prohlídkový okruh představuje adaptaci letního aristokratického sídla v moderní a celoročně obývanou rezidenci. Vede do prostor mansard vestavěných na počátku 20. století, dále do půdních prostor i suterénu. Technické zázemí situované právě do suterénu umožnilo modernizaci a zkvalitnění života v raduňském sídle. Horkovzdušné vytápění společně s kachlovými kamny zpříjemnilo pobyt na zámku v zimních měsících. Rozvod pitné i užitkové vody a později také elektrifikace objektu výrazně zjednodušily a ulehčily každodenní pobyt zdejších obyvatel. Trasa přiblíží, jak všechna tato zařízení fungovala. Minimální počet osob ve skupině je pět. Doporučujeme rezervaci prohlídky.
Šternberk;max. 20 osob;Technika na hradě;délka 75 minut;Okruh představí návštěvníkům technické zázemí hradu Šternberk. Délka prohlídky cca 75 minut.
Valtice;max. 50 osob;TAJUPLNÝ SVĚT - Fascinující zábava pro celou rodinu;délka 45 minut;Arnošt Vašíček představuje velké záhady naší planety: Pod křídly draků – Nebezpeční kříženci – Mořští lidé - Na lovu příšer – Magický pravěk – Čas čarodějů – Zkázy a zázraky - Nezničitelné svátosti - Tajnosti templářů - Tajemný Egypt - Nevysvětlitelné objevy - Bytosti z hvězd… Výstava je každoročně rozšířena o nové exponáty.
Velhartice;max. 12 osob;Šumavská klenotnice;délka 60 minut;Přijďte prozkoumat příběh tajného převozu korunovačních klenotů na Velhartice.
hospitál Kuks;max. 50 osob;Šporkovská hrobka;délka 15 minut;V klenutém prostoru krypty kostela Nejsvětější Trojice se seznámíte s příběhem pochovaných členů rodu Šporků a Swéerts-Šporků.
Šternberk;max. 35 osob;Šlechtické reprezentační prostory (základní okruh I.);délka 50 minut;Zahrnuje kapli, chodbu a pokoje prvního patra vybavené mobiliářem posledních majitelů. Délka prohlídky cca 50 minut. Nově je součástí okruhu i návštěva zrekonstruované Liechtensteinské kuchyně. Bezbariérový přístup - možnost návštěvy i pro vozíčkáře.
Březnice;max. 33 osob;Synagoga Březnice;délka 30 minut;Expozice přibližuje povědomí o židovské kultuře v autentickém prostředí. Expozice se skládá z části tematické a regionální. Tematická část se týká židovské vzdělanosti a regionální část je zaměřena na historii březnické židovské náboženské obce.
Sázava;max. 25 osob;Svatoprokopská Sázava (základní klášterní okruh);délka 60 minut;Místo, kde svatý Prokop oral s čertem aneb pouť za svatým Prokopem od středověku až do současnosti. Uslyšíte mnoho příběhů a uvidíte pestrou mozaiku architektury a uměleckých předmětů z různých slohových období a historických etap. Budete také následovat poutníky, kteří sem za svatým Prokopem, patronem české země, po staletí přicházejí s důvěrou v jeho pomoc.
Konopiště;max. 15 osob;Střelnice arcivévody Františka Ferdinanda d´Este;délka 30 minut;Unikátní střelnice s pohyblivými a akustickými terči, kulečníkovou dráhou a loveckými trofejemi byla umístěna do prostor bývalých stájí na spodním nádvoří.
Veveří;max. 10 osob;Stavebně - historický vývoj hradu Veveří;délka 60 minut;Speciální okruh, který Vás provede hradem od sklepů po půdy.
Ratibořice;max. 2 osob;Staré bělidlo (individuální okruh);délka 15 minut;Hlavním dějištěm knihy Babička spisovatelky Boženy Němcové je Staré bělidlo. Babiččina světnička je zařízena lidovým nábytkem a předměty denní potřeby podle spisovatelčina vyprávění.
Bouzov;max. 20 osob;Speciální prohlídka;délka 50 minut;Prohlídka interiérů hradu v provozu pouze v případě svatebních obřadů, natáčení nebo z jiných provozních důvodů.
Konopiště;max. 8 osob;Soukromé pokoje rodiny Františka Ferdinanda d'Este;délka 70 minut;Jedná se o exkluzivní trasu. Expozice je instalována podle dobové fotodokumentace a inventárních seznamů tak, jak byly zařízeny v době, kdy na zámku žil František Ferdinand d'Este.
Vranov nad Dyjí;max. 16 osob;Soukromé pokoje;délka 50 minut;Prohlídkový okruh přiblíží návštěvníkům osudy vranovského zámku a jeho majitelů - polských hrabat Mniszků a Stadnických - v průběhu 19. a na počátku 20. století. Součástí prohlídkového okruhu je i kaple Nejsvětější Trojice z roku 1700.
Rožmberk;max. 15 osob;Soukromé pokoje;délka 40 minut;Expozice ve 2. patře hradu poskytuje pohled do soukromí šlechtického rodu Buquoyů kolem poloviny 19. století.
Žleby;max. 15 osob;Soukromé apartmány (základní okruh);délka 50 minut;ŽIVOT NA ZÁMKU: soukromé salóny, ložnice a pracovny knížecí rodiny Auerspergů, každodenní život na šlechtickém sídle v 19. století, příběh a osudy rodiny Auerspergů, pokoje zámeckého služebnictva, dobová hygiena, renesanční arkádové nádvoří s ochozy, zámecká kaple Zvěstování Panny Marie.
Lednice;max. 25 osob;Soukromé apartmány (základní okruh);délka 45 minut;Soukromé knížecí apartmány v prvním patře zámku sloužily knížecí rodině do roku 1945. Od 50. let 20. století až do roku 2001 zde byly vystaveny exponáty zemědělského muzea. Od roku 2001 otevřený prohlídkový okruh s původním inventářem instalovaný podle dobových soupisů.
Hluboká nad Vltavou;max. 20 osob;Soukromé apartmány;délka 60 minut;Soukromé pokoje mají komornější charakter než tzv. piano nobile hlubockého zámku. Přibližují život posledních majitelů po romantické přestavbě v polovině 19. století, konkrétně knížecích párů Jana Adolfa II. Schwarzenberga s manželkou Eleonorou, roz. princeznu z Liechtensteinu, Adolfa Josefa s jeho manželkou Idou, roz. princeznu z Liechtensteinu, Jana Nepomuka II. s manželkou Terezií, roz. hraběnku Trauttsmandorf, a Adolfa s manželkou Hildou, roz. princeznou z Lucemburku a Nassau. Pokoje jsou zařízeny podle inventářů z posledního období pobytu Schwarzenbergů. Na trase je lovecká jídelna, přípravna, pracovna, mramorový sál, ložnice, pokoj pro služku a původní sanitární vybavení WC s koupelnou. Technickou zajímavostí je osobní a nákladní výtah. Zvýrazněným motivem je na prohlídkovém okruhu lov jako výrazný prvek života aristokratických obyvatel zámku, jejich rodin a přátel. Trasa prochází pokoji přízemí a prvního patra zámku.
Dačice;max. 30 osob;Soukromé a reprezentační pokoje (základní okruh);délka 50 minut;Prohlídkovou trasu zámku tvoří společenské sály i soukromé pokoje jednotlivých členů rodiny říšských svobodných pánů Dalbergů, kteří Dačice zvolili na začátku 19. století za své hlavní reprezentační sídlo. Na zámku se dochovalo velké množství předmětů osobní povahy i cenné umělecké nebo přírodovědné sbírky. Z uměleckých předmětů stojí za pozornost zejména portrét Terezie Dalbergové, který v roce 1894 vytvořil dnes už světoznámý František Kupka, tehdy ještě student umění.
Červená Lhota;max. 25 osob;Sklepení;délka 20 minut;Expozice představuje tři pozoruhodné sklepní prostory z části zapuštěné do skal. Prohlídka je vhodná pro všechny, kteří se chtějí dozvědět více o původní podobě Červené Lhoty.
Lednice;neomezeně;Skleník;délka 45 minut;Jedinečná stavba palmového skleníku byla ve své době považována za div techniky. Zámecký skleník měří na délku 92 metrů, na šířku 13 metrů a je vysoký je 7,5 metru. Tuto oázu tropických a subtropických rostlin si můžete prohlédnout svým tempem - bez průvodce.
Velhartice;neomezeně;Skanzen lidové architektury;délka 50 minut;Soubor staveb lidové architektury se nalézá v předhradí. Je tvořen hodnotnými staveními transferovanými z pošumavského předhůří. Konkrétní podrobnosti o jejich historii i technické detaily jsou popsány u jednotlivých objektů. Od roku 2009 je tento okruh oficiálně zpřístupněn pro návštěvníky, prozatím jako prohlídka exteriérů.
Velké Březno;max. 10 osob;Sezonní výstava a vyhlídková věž (Výběrový okruh III);délka 15 minut;Pokud si chcete jen zpestřit procházku parkem nebo nemáte dostatek času na absolvování pravidelné prohlídky zámku, nabízíme tyto chvilky strávit příjemným rozhledem do blízkého okolí z vyhlídkové věžičky. Součástí speciálního okruhu je i možnost navštívit sezonní výstavu. Prohlídka je možná v běžné otevírací době zámku. V případě zájmu oslovte průvodce, který vás rád do našeho klidného zátiší doprovodí. S návštěvou věže je spojena i tematická výstava, která je v rámci Habsburského roku zaměřena na poslední korunovaci českého krále v roce 1836.
Sázava;max. 600 osob;Severní klášterní zahrada;délka 60 minut;Severní zahrada kláštera se základy kostela sv. Kříže z roku 1070 objevenými v rámci archeologického výzkumu.
Lednice;max. 15 osob;Sály minaretu;délka 30 minut;Prohlídka zahrnuje osm místností prvního patra minaretu. Návštěvníci uvidí jedinečný interiér vybavený fragmenty orientálního nábytku – včetně dvou kusů původních mramorových šachovnicových stolků.
Konopiště;max. 25 osob;Salony severního křídla (základní okruh);délka 55 minut;Nejstarší prostory zámku s gotickými a renesančními klenbami v kapli sv. Huberta.
Konopiště;max. 25 osob;Salony jižního křídla zámku (základní okruh);délka 50 minut;Reprezentační a hostinské pokoje umístěné v prvním patře jižního křídla zámku.
Zlatá Koruna;max. 30 osob;Sakrální trasa (základní okruh);délka 40 minut;Komentovaná prohlídka zahrnuje tři hlavní duchovní prostory kláštera. Začíná v soukromé opatské kapli, kde návštěvníci uvidí gotický obraz Zlatokorunské madony. Pokračuje přes budovu malého konventu s náhrobky opatů do jedinečné patrové kaple Andělů strážných, zahrady, křížové chodby a kapitulní síně. Je zakončena v největším kostele jižních Čech - chrámu Nanebevzetí Panny Marie.
Konopiště;max. 30 osob;Růžová zahrada se skleníky;délka 30 minut;Skleníky s teplomilnými a subtropickými rostlinami, korkový pavilon a sochařská výzdoba tvoří nedílnou součást zámku Konopiště.
Ratibořice;max. 50 osob;Rudrův mlýn;délka 30 minut;Rudrův mlýn je jedním z dějišť románu Babička. Mlýn byl do dnešní podoby přestavěn v 18. století. Uvnitř je možno zhlédnout historické technické vybavení a obydlí mlynáře a jeho rodiny.
Veltrusy;max. 25 osob;Rodinný život pana hraběte;délka 50 minut;Soukromé deníky hraběte byly podkladem pro tvorbu tohoto prohlídkového okruhu. Unikátní Mušlové pokoje, Hlavní sál, Táflovaný kabinet, Ložnice, pokoj komtesy… Provedeme vás apartmánem šlechtice, který vyměnil kariéru u císařského dvora za rodinný život.
Vizovice;max. 30 osob;Reprezentativní prostory prvního patra zámku (základní okruh);délka 55 minut;Interiéry jsou bohatě vybaveny hodnotným nábytkem ve stylu baroka, rokoka, empíru a klasicismu. Vedle kvalitního nábytku se v pokojích nachází množství porcelánu různé provenience, orientálních předmětů a nejhodnotnější díla zámecké obrazárny. K nejsilnějším zážitkům patří návštěva reprezentačního sálu s působivou nástěnnou výmalbou a mimořádně kvalitním gobelínovým sedacím souborem, který je i v současnosti využíván ke slavnostním příležitostem, jako jsou svatební obřady či koncerty vážné hudby. Prohlídka zahrnuje 24 pokojů.
Milotice;max. 25 osob;Reprezentační sály (základní okruh);délka 50 minut;Reprezentativní a obytné prostory, při jejichž návštěvě nahlédnete zejména do každodenního života posledního majitele JUDr. Ladislava Seilerna a jeho rodiny, kteří zámek obývali do roku 1945.
Lednice;max. 45 osob;Reprezentační sály (základní okruh);délka 45 minut;Reprezentační sály v přízemí zámku – sloužily k pořádání společenských akcí, plesů a bálů. Jsou proslulé nejen v ČR díky nádhernému dřevěnému obložení, ale zejména pro detailně zdobené kazetové stropy a vřetenovité schodiště.
Bučovice;max. 45 osob;Reprezentační sály (základní okruh);délka 45 minut;Prohlídka s průvodcem zahrnuje reprezentační a soukromé pokoje s unikátními malovanými stropy. Navštívíte v přízemí objektu Zaječí pokoj, Venušin sál, Císařský pokoj, Ptačí sál, Sál smyslů, Zbrojnici a přípravnu jídel, v patře pak barokní kapli.
Žleby;max. 20 osob;Reprezentační salóny (základní okruh);délka 50 minut;KOUZLO ROMANTICKÉHO ZÁMKU: reprezentační salóny, zámecká zbrojnice s ojedinělou sbírkou zbraní a zbroje, romantické interiéry, renesanční arkádové nádvoří s ochozy, zámecká kuchyně s historickým provozním zázemím a přípravnou jídel.
Kunštát;max. 25 osob;Reprezentační prostory jižního křídla (základní okruh I);délka 50 minut;Interiéry zařízené původním vybavením seznamují návštěvníky s kulturou bydlení posledních šlechtických majitelů. Absence novodobých úprav dodává vnitřním prostorám zcela jedinečný autentický výraz. Prohlídková trasa probíhá v rozsahu prvního a druhého patra jižního křídla zámku.
